feature_id	component_id	precursor_mz
365	1	788.2975
412	1	647.1944
714	1	787.4989
513	1	507.1855
764	1	773.5189
113	1	381.0795
148	1	213.0753
694	1	609.4513
268	1	380.1917
822	1	415.3573
604	1	226.1801
433	1	447.0922
331	1	434.2021
119	1	120.0811
101	1	311.1126
89	1	293.102
366	1	135.0442
127	1	334.15
373	1	471.1501
395	1	163.039
475	1	327.1077
546	1	442.2651
178	1	366.1763
435	1	609.1813
138	1	378.1765
363	1	449.1083
818	1	932.6305
531	1	670.2698
416	1	728.239
545	1	593.1868
411	1	642.2393
165	1	151.0753
440	1	324.2015
337	1	151.0754
160	1	318.154
372	1	435.1289
449	1	654.2393
237	1	398.2023
528	1	221.1898
596	1	179.1431
221	1	344.1342
311	1	457.1493
305	1	625.1398
60	1	142.0863
251	1	225.076
609	1	291.1955
423	1	197.1174
173	1	229.1071
324	1	339.1076
473	1	659.1949
239	1	195.0654
62	1	139.0026
457	1	209.081
487	1	339.1072
209	1	420.1502
410	1	640.2235
107	1	147.0442
50	1	130.0863
253	1	329.1232
364	1	463.0874
601	1	504.2804
592	1	221.1899
111	1	130.0501
356	1	207.0652
456	1	193.1589
270	1	376.1967
436	1	329.1569
517	1	440.2486
451	1	175.1483
462	1	463.1237
206	1	346.1496
82	1	151.0754
38	1	133.0608
227	1	342.1763
71	1	158.1176
686	1	375.2682
202	1	296.1703
804	1	613.483
314	1	434.2025
84	1	364.1602
468	1	512.2129
525	1	323.1122
429	1	177.0547
300	1	400.2178
481	1	457.2072
210	1	454.2436
474	1	309.097
157	1	413.0835
584	1	203.1795
663	1	353.2686
135	1	167.0705
340	1	313.0917
339	1	309.0967
437	1	352.2327
308	1	150.063
238	1	177.0548
527	1	203.1794
390	1	595.1655
567	1	257.1285
346	1	404.1555
282	1	413.1413
150	1	339.1067
441	1	802.3122
244	1	420.1874
154	1	392.1544
386	1	219.1743
398	1	471.1498
396	1	181.0495
422	1	179.1068
338	1	147.0441
534	1	423.222
215	1	193.0861
572	1	504.2805
641	1	293.2111
61	1	129.0185
368	1	181.0496
371	1	325.0919
23	1	171.0166
795	1	613.4828
284	1	436.2172
748	1	829.5061
291	1	400.2175
97	1	121.0651
205	1	324.2014
259	1	404.1561
384	1	147.044
685	1	367.2632
665	1	295.2267
152	1	375.1278
336	1	492.2436
636	1	351.2546
137	1	364.1606
313	1	677.2049
234	1	418.1711
104	1	369.1158
562	1	191.1431
469	1	517.1683
279	1	406.2438
109	1	133.0609
164	1	133.0649
374	1	479.155
805	1	792.5623
514	1	653.243
121	1	166.0864
37	1	130.0499
508	1	195.065
354	1	195.0653
551	1	458.2016
266	1	561.1949
201	1	381.0951
796	1	954.6152
73	1	130.0501
241	1	434.1662
775	1	568.428
747	1	824.5516
391	1	177.0546
333	1	163.039
427	1	242.1751
699	1	686.447
304	1	126.0915
823	1	416.3642
355	1	177.0547
512	1	485.1646
91	1	347.1338
417	1	595.1656
664	1	277.2161
659	1	279.2318
229	1	392.1919
200	1	365.1213
341	1	581.1501
443	1	195.0653
226	1	325.1497
591	1	203.1795
199	1	360.1658
529	1	239.2004
559	1	610.2494
146	1	177.0543
668	1	295.2267
179	1	375.1281
483	1	297.0969
342	1	219.1016
335	1	325.0917
77	1	132.1021
450	1	656.2549
535	1	440.2489
155	1	397.1097
544	1	460.1818
286	1	163.0388
408	1	339.1074
183	1	439.1003
704	1	279.2318
615	1	291.1954
741	1	611.467
203	1	301.1257
603	1	181.1223
235	1	221.0809
575	1	394.2075
348	1	417.1732
367	1	163.0391
647	1	277.2164
378	1	642.2395
280	1	411.1991
493	1	502.2651
742	1	773.5198
133	1	121.0652
216	1	390.1766
515	1	670.2695
359	1	505.1703
552	1	430.1708
170	1	364.1602
297	1	379.1366
446	1	485.1657
746	1	593.2759
488	1	816.3283
285	1	151.039
236	1	504.1716
656	1	532.3495
136	1	311.1128
347	1	412.2179
500	1	457.2072
594	1	504.2804
425	1	626.2444
419	1	371.2062
344	1	457.2408
290	1	325.0915
125	1	385.09
243	1	219.1019
88	1	382.1708
289	1	313.0915
288	1	181.0494
352	1	541.1915
343	1	540.244
181	1	221.081
542	1	287.0553
130	1	350.1453
174	1	408.1864
248	1	448.2182
103	1	364.1604
578	1	177.0546
240	1	374.1451
310	1	327.1073
491	1	439.1968
816	1	794.5774
403	1	579.1711
406	1	151.0754
803	1	335.2581
405	1	219.1016
256	1	445.1109
494	1	221.1901
484	1	309.0968
744	1	970.6091
273	1	404.1552
129	1	171.0655
90	1	329.1232
255	1	429.1369
182	1	418.171
452	1	179.0703
100	1	167.0704
397	1	325.0917
632	1	351.2549
264	1	448.2182
645	1	353.2686
53	1	360.1496
649	1	351.254
108	1	392.1915
682	1	702.4416
102	1	346.15
168	1	371.1311
294	1	195.1019
407	1	177.0546
627	1	275.2006
380	1	460.1815
496	1	816.3288
824	1	431.3522
272	1	360.1659
46	1	210.9403
533	1	295.102
424	1	309.0969
510	1	339.107
267	1	344.1705
329	1	412.2178
530	1	522.2908
252	1	167.0704
271	1	283.0812
486	1	177.0546
147	1	195.0649
766	1	611.4668
404	1	788.2972
445	1	339.1075
448	1	639.2287
33	1	381.079
52	1	325.1126
76	1	182.0813
246	1	425.1424
312	1	672.2498
760	1	611.467
349	1	595.1657
511	1	353.1226
678	1	702.4413
431	1	603.2051
295	1	374.1818
767	1	808.5557
420	1	802.3122
105	1	385.0897
260	1	338.1815
590	1	257.1284
6	1	189.1595
432	1	191.143
370	1	309.097
762	1	824.551
376	1	625.2133
622	1	295.2268
350	1	364.1966
814	1	429.3729
646	1	277.2162
191	1	427.0998
630	1	195.102
254	1	424.1815
198	1	131.0492
655	1	353.2695
460	1	219.1016
467	1	661.2102
503	1	410.2019
145	1	167.07
442	1	177.0547
401	1	456.2444
176	1	429.1158
707	1	259.2056
618	1	223.0965
581	1	712.2812
585	1	396.2228
257	1	452.2128
55	1	131.1543
579	1	381.1179
232	1	175.1483
306	1	147.0441
117	1	360.1502
214	1	360.1292
192	1	318.1547
377	1	640.2239
382	1	197.1172
648	1	353.2689
490	1	191.1431
617	1	177.0547
458	1	476.2494
323	1	195.0653
22	1	145.1698
332	1	439.1574
687	1	393.2785
207	1	450.1971
444	1	323.1126
583	1	301.0707
661	1	532.3482
418	1	339.1073
466	1	477.1031
228	1	347.1316
169	1	167.0703
153	1	382.1701
385	1	175.1481
539	1	468.2796
520	1	468.2795
120	1	130.0865
573	1	271.06
163	1	123.0806
509	1	323.112
30	1	156.0767
51	1	127.0391
151	1	357.1173
167	1	366.1759
357	1	339.1075
421	1	147.0441
180	1	394.1709
485	1	470.2597
507	1	177.0544
166	1	169.0859
558	1	442.2652
141	1	369.1161
400	1	625.2131
554	1	179.1431
322	1	177.0547
309	1	309.0967
11	2	206.8858
9	2	336.8434
8	2	320.866
5	2	265.0154
13	2	290.847
3	2	239.9664
4	2	241.9994
21	2	465.0406
2	2	216.9505
7	2	236.9046
1	2	198.94
477	3	325.1435
292	3	700.281
414	3	568.239
438	3	538.2281
428	3	568.2376
472	3	654.2396
430	3	598.2498
478	3	589.1918
479	3	624.2291
482	4	479.189
465	4	417.1737
550	4	435.1258
543	4	465.1375
492	4	479.1892
501	4	479.189
383	4	465.1368
369	5	188.0918
40	5	148.0603
211	5	194.1025
66	5	210.0608
39	5	147.0763
112	5	148.0605
65	5	193.0344
80	6	296.066
660	6	520.3399
673	6	496.3399
116	6	258.1101
20	6	296.0657
643	6	518.3243
42	6	258.1097
653	7	520.3399
777	7	798.5643
783	7	772.5485
794	7	774.5641
757	7	813.5089
642	7	518.3243
758	7	796.548
269	8	385.1471
320	8	533.2206
54	8	365.105
351	8	369.1521
555	8	399.1991
523	8	453.2088
57	9	146.0924
59	9	132.1383
56	9	146.165
75	9	146.1653
44	9	132.1019
58	9	146.1175
770	10	609.4515
505	10	474.2334
769	10	806.5425
522	10	181.122
650	10	293.2115
771	10	627.4622
454	11	686.2655
393	11	249.1122
453	11	249.1122
394	11	600.2654
29	12	293.063
14	12	292.845
12	12	208.8838
17	12	208.9724
612	13	796.3022
565	13	712.2812
589	13	754.2917
27	14	175.1189
64	14	175.0238
110	14	175.1191
459	15	481.2044
595	15	509.2359
526	15	527.2461
217	16	395.1315
230	16	397.1473
175	16	413.1416
576	17	399.1624
519	17	445.2034
537	17	445.2036
605	18	465.1181
608	18	465.1183
606	18	495.1286
464	19	395.1912
327	19	393.1755
328	19	410.2022
651	20	478.293
658	20	478.2929
635	21	318.3017
628	21	316.2848
808	22	714.5514
807	22	696.5408
413	23	498.2548
317	23	660.3075
560	24	342.264
553	24	241.2036
611	25	223.1329
693	25	313.2735
204	26	317.0996
561	26	447.2204
189	27	205.0972
188	27	188.0707
283	28	429.1151
778	28	607.2919
787	29	537.5355
788	29	582.5933
233	30	227.0914
190	30	227.0912
637	31	391.2473
633	31	391.2476
172	32	385.0891
223	32	365.0636
140	-1	220.1181
696	-1	829.5062
582	-1	717.2364
149	-1	218.0807
79	-1	213.0749
577	-1	422.2384
48	-1	198.0971
480	-1	629.1842
447	-1	661.2103
275	-1	461.1994
69	-1	268.946
187	-1	501.137
439	-1	145.1222
123	-1	383.0378
287	-1	169.0494
455	-1	691.2209
740	-1	975.5641
817	-1	799.5327
538	-1	461.1772
196	-1	399.0687
263	-1	441.1162
224	-1	372.1655
144	-1	159.0438
303	-1	405.173
654	-1	293.2112
67	-1	215.0162
85	-1	303.0841
242	-1	439.1216
299	-1	402.2124
623	-1	257.19
724	-1	820.5208
782	-1	589.4829
763	-1	755.5084
24	-1	219.0263
588	-1	759.2468
652	-1	327.2317
568	-1	483.2564
772	-1	811.4967
629	-1	333.2038
28	-1	214.0587
330	-1	415.1577
186	-1	485.1628
86	-1	341.0642
598	-1	259.1281
387	-1	369.1518
261	-1	461.1997
96	-1	531.1821
463	-1	377.1808
692	-1	280.2635
185	-1	480.2075
621	-1	179.1067
72	-1	332.1339
708	-1	827.4905
19	-1	222.9879
353	-1	563.1738
293	-1	137.0599
225	-1	439.1577
194	-1	339.084
402	-1	461.1996
415	-1	684.2494
392	-1	411.1991
16	-1	251.0305
791	-1	568.4275
409	-1	547.1788
495	-1	441.2462
142	-1	121.0648
557	-1	717.2366
532	-1	675.2252
765	-1	813.5111
195	-1	199.0601
212	-1	199.0577
118	-1	305.0999
278	-1	227.1642
132	-1	371.0746
732	-1	939.5479
274	-1	409.1106
360	-1	545.1631
25	-1	249.0364
720	-1	827.4911
524	-1	305.1017
156	-1	403.0993
218	-1	411.1052
197	-1	471.1263
619	-1	343.2956
680	-1	409.2734
139	-1	399.1058
45	-1	174.0873
631	-1	251.1282
18	-1	213.0746
806	-1	797.5173
713	-1	625.4463
98	-1	131.0493
208	-1	455.1525
74	-1	277.0684
662	-1	537.3035
768	-1	836.5871
695	-1	771.5039
723	-1	464.3585
461	-1	602.3021
213	-1	406.0556
345	-1	181.1223
801	-1	461.3627
49	-1	335.0736
126	-1	392.1919
566	-1	717.2366
83	-1	387.1053
15	-1	181.9614
506	-1	675.2248
644	-1	393.2612
298	-1	395.1106
231	-1	420.2232
602	-1	600.2952
564	-1	258.1127
47	-1	337.0893
434	-1	457.2408
171	-1	369.1152
184	-1	298.0968
78	-1	241.1547
607	-1	273.1849
624	-1	275.2006
626	-1	333.2036
334	-1	181.0495
388	-1	399.1414
541	-1	439.2302
95	-1	415.1084
548	-1	455.2255
122	-1	362.1085
193	-1	323.1099
265	-1	556.2394
625	-1	311.1852
556	-1	712.2813
638	-1	288.2535
94	-1	388.0907
70	-1	437.9729
613	-1	801.2575
318	-1	665.2628
131	-1	355.1006
620	-1	328.2482
81	-1	291.0841
375	-1	488.1765
161	-1	339.0835
43	-1	263.0161
726	-1	825.4764
114	-1	231.0267
222	-1	349.0895
797	-1	461.3631
26	-1	323.0735
10	-1	122.9246
219	-1	418.2073
489	-1	821.2833
68	-1	230.9902
31	-1	351.0684
63	-1	147.0288
315	-1	439.1579
798	-1	568.4279
87	-1	403.1002
41	-1	176.1029
361	-1	487.2149
389	-1	543.2412
247	-1	441.1161
381	-1	647.1944
35	-1	543.132
124	-1	401.0848
547	-1	447.2203
177	-1	436.2176
316	-1	461.1996
276	-1	434.2751
379	-1	638.2084
657	-1	537.3048
128	-1	355.0799
499	-1	253.1411
115	-1	268.9825
569	-1	465.1182
736	-1	621.2704
220	-1	373.1836
703	-1	827.4911
